iteration,LB,UB,gap,n_cuts
159,37.19070360553093,inf,inf,788
160,37.19070360553093,inf,inf,793
161,37.24771397000002,inf,inf,800
162,37.24771397000002,inf,inf,811
163,37.32136202333332,inf,inf,812
164,37.32136202333332,inf,inf,813
165,37.46420523500001,inf,inf,814
166,37.46420523500001,inf,inf,826
167,37.51111007666669,inf,inf,827
168,37.51111007666669,inf,inf,831
169,37.538813358651275,inf,inf,832
170,37.538813358651275,inf,inf,833
171,37.631328438333334,inf,inf,835
172,37.631328438333334,inf,inf,836
173,37.66398076333331,inf,inf,836
174,37.66398076333331,inf,inf,843
175,37.69432754323973,inf,inf,849
176,37.69432754323973,inf,inf,850
177,37.704829852287574,inf,inf,851
